
Generated 5 folds for cross-validation on 30577 labeled nodes.
Using device: mps

============================================================
⏭️  Skipping Stage 1: Optuna Search.
Loading best architecture parameters from: ./ESKAPEE_model/best_arch_params.yaml
============================================================

============================================================
💾 Stage 2: Training Final Model on ALL Labeled Data
============================================================
Gradient magnitudes plot saved for epoch 0 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_0.png
Final training... Epoch 10/3000, Loss: 0.8580, Val Loss: 0.8362, LR: 0.005
Final training... Epoch 470/3000, Loss: 0.4725, Val Loss: 0.4411, LR: 0.005
Final training... Epoch 480/3000, Loss: 0.4798, Val Loss: 0.4518, LR: 0.005
Final training... Epoch 490/3000, Loss: 0.4728, Val Loss: 0.4464, LR: 0.005
Final training... Epoch 500/3000, Loss: 0.4939, Val Loss: 0.4454, LR: 0.005
Gradient magnitudes plot saved for epoch 500 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_500.png
Final training... Epoch 510/3000, Loss: 0.4760, Val Loss: 0.4325, LR: 0.005
Final training... Epoch 520/3000, Loss: 0.4661, Val Loss: 0.4334, LR: 0.005
Final training... Epoch 530/3000, Loss: 0.4628, Val Loss: 0.4353, LR: 0.005
Final training... Epoch 540/3000, Loss: 0.4595, Val Loss: 0.4384, LR: 0.005
Final training... Epoch 550/3000, Loss: 0.4642, Val Loss: 0.4208, LR: 0.005
Final training... Epoch 560/3000, Loss: 0.4524, Val Loss: 0.4127, LR: 0.005
Final training... Epoch 570/3000, Loss: 0.5014, Val Loss: 0.4322, LR: 0.005
Final training... Epoch 580/3000, Loss: 0.4585, Val Loss: 0.4238, LR: 0.005
Final training... Epoch 590/3000, Loss: 0.4533, Val Loss: 0.4243, LR: 0.005
Final training... Epoch 600/3000, Loss: 0.4517, Val Loss: 0.4180, LR: 0.005
Gradient magnitudes plot saved for epoch 600 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_600.png
Final training... Epoch 610/3000, Loss: 0.4470, Val Loss: 0.4109, LR: 0.005
Final training... Epoch 620/3000, Loss: 0.4774, Val Loss: 0.4220, LR: 0.005
Final training... Epoch 630/3000, Loss: 0.4400, Val Loss: 0.3986, LR: 0.005
Final training... Epoch 640/3000, Loss: 0.4349, Val Loss: 0.3911, LR: 0.005
Final training... Epoch 650/3000, Loss: 0.4410, Val Loss: 0.4226, LR: 0.005
Final training... Epoch 660/3000, Loss: 0.4257, Val Loss: 0.3996, LR: 0.005
Final training... Epoch 670/3000, Loss: 0.4318, Val Loss: 0.4005, LR: 0.005
Final training... Epoch 680/3000, Loss: 0.4397, Val Loss: 0.4014, LR: 0.005
Final training... Epoch 690/3000, Loss: 0.4322, Val Loss: 0.3921, LR: 0.005
Final training... Epoch 700/3000, Loss: 0.4368, Val Loss: 0.3949, LR: 0.005
Gradient magnitudes plot saved for epoch 700 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_700.png
Final training... Epoch 710/3000, Loss: 0.4313, Val Loss: 0.3862, LR: 0.005
Final training... Epoch 720/3000, Loss: 0.4196, Val Loss: 0.3753, LR: 0.005
Final training... Epoch 730/3000, Loss: 0.4185, Val Loss: 0.3899, LR: 0.005
Final training... Epoch 740/3000, Loss: 0.4262, Val Loss: 0.3779, LR: 0.005
Final training... Epoch 750/3000, Loss: 0.4413, Val Loss: 0.3963, LR: 0.005
Final training... Epoch 760/3000, Loss: 0.4219, Val Loss: 0.3743, LR: 0.005
Final training... Epoch 770/3000, Loss: 0.4304, Val Loss: 0.3821, LR: 0.005
Final training... Epoch 780/3000, Loss: 0.4199, Val Loss: 0.3742, LR: 0.005
Final training... Epoch 790/3000, Loss: 0.4127, Val Loss: 0.3722, LR: 0.005
Final training... Epoch 800/3000, Loss: 0.4112, Val Loss: 0.3717, LR: 0.005
Gradient magnitudes plot saved for epoch 800 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_800.png
Final training... Epoch 810/3000, Loss: 0.4053, Val Loss: 0.3696, LR: 0.005
Final training... Epoch 820/3000, Loss: 0.4145, Val Loss: 0.3748, LR: 0.005
Final training... Epoch 830/3000, Loss: 0.4062, Val Loss: 0.3602, LR: 0.005
Final training... Epoch 840/3000, Loss: 0.4122, Val Loss: 0.3686, LR: 0.005
Final training... Epoch 850/3000, Loss: 0.4168, Val Loss: 0.3677, LR: 0.005
Final training... Epoch 860/3000, Loss: 0.4180, Val Loss: 0.3667, LR: 0.005
Final training... Epoch 870/3000, Loss: 0.4012, Val Loss: 0.3562, LR: 0.005
Final training... Epoch 880/3000, Loss: 0.4040, Val Loss: 0.3571, LR: 0.005
Final training... Epoch 890/3000, Loss: 0.3961, Val Loss: 0.3540, LR: 0.005
Final training... Epoch 900/3000, Loss: 0.4155, Val Loss: 0.3726, LR: 0.005
Gradient magnitudes plot saved for epoch 900 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_900.png
Final training... Epoch 910/3000, Loss: 0.4113, Val Loss: 0.3591, LR: 0.005
Final training... Epoch 920/3000, Loss: 0.3940, Val Loss: 0.3614, LR: 0.005
Final training... Epoch 930/3000, Loss: 0.3954, Val Loss: 0.3597, LR: 0.005
Final training... Epoch 940/3000, Loss: 0.3941, Val Loss: 0.3451, LR: 0.005
Final training... Epoch 950/3000, Loss: 0.3888, Val Loss: 0.3485, LR: 0.005
Final training... Epoch 960/3000, Loss: 0.3971, Val Loss: 0.3552, LR: 0.005
Final training... Epoch 970/3000, Loss: 0.3811, Val Loss: 0.3420, LR: 0.005
Final training... Epoch 980/3000, Loss: 0.4012, Val Loss: 0.3599, LR: 0.005
Final training... Epoch 990/3000, Loss: 0.3884, Val Loss: 0.3641, LR: 0.005
Final training... Epoch 1000/3000, Loss: 0.3835, Val Loss: 0.3397, LR: 0.005
Gradient magnitudes plot saved for epoch 1000 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1000.png
Final training... Epoch 1010/3000, Loss: 0.3790, Val Loss: 0.3457, LR: 0.005
Final training... Epoch 1020/3000, Loss: 0.3781, Val Loss: 0.3385, LR: 0.005
Final training... Epoch 1030/3000, Loss: 0.3904, Val Loss: 0.3485, LR: 0.005
Final training... Epoch 1040/3000, Loss: 0.3768, Val Loss: 0.3352, LR: 0.005
Final training... Epoch 1050/3000, Loss: 0.3767, Val Loss: 0.3341, LR: 0.005
Final training... Epoch 1060/3000, Loss: 0.4020, Val Loss: 0.3774, LR: 0.005
Final training... Epoch 1070/3000, Loss: 0.3959, Val Loss: 0.3460, LR: 0.005
Final training... Epoch 1080/3000, Loss: 0.3863, Val Loss: 0.3278, LR: 0.005
Final training... Epoch 1090/3000, Loss: 0.3691, Val Loss: 0.3262, LR: 0.005
Final training... Epoch 1100/3000, Loss: 0.3877, Val Loss: 0.3485, LR: 0.005
Gradient magnitudes plot saved for epoch 1100 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1100.png
Final training... Epoch 1110/3000, Loss: 0.3801, Val Loss: 0.3398, LR: 0.005
Final training... Epoch 1120/3000, Loss: 0.3836, Val Loss: 0.3296, LR: 0.005
Final training... Epoch 1130/3000, Loss: 0.3754, Val Loss: 0.3234, LR: 0.005
Final training... Epoch 1140/3000, Loss: 0.3618, Val Loss: 0.3212, LR: 0.005
Final training... Epoch 1150/3000, Loss: 0.3776, Val Loss: 0.3311, LR: 0.005
Final training... Epoch 1160/3000, Loss: 0.3730, Val Loss: 0.3277, LR: 0.005
Final training... Epoch 1170/3000, Loss: 0.3750, Val Loss: 0.3312, LR: 0.005
Final training... Epoch 1180/3000, Loss: 0.3717, Val Loss: 0.3290, LR: 0.005
Final training... Epoch 1190/3000, Loss: 0.3611, Val Loss: 0.3115, LR: 0.005
Final training... Epoch 1200/3000, Loss: 0.3614, Val Loss: 0.3121, LR: 0.005
Gradient magnitudes plot saved for epoch 1200 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1200.png
Final training... Epoch 1210/3000, Loss: 0.3626, Val Loss: 0.3237, LR: 0.005
Final training... Epoch 1220/3000, Loss: 0.3514, Val Loss: 0.3158, LR: 0.005
Final training... Epoch 1230/3000, Loss: 0.3604, Val Loss: 0.3292, LR: 0.005
Final training... Epoch 1240/3000, Loss: 0.3677, Val Loss: 0.3177, LR: 0.005
Final training... Epoch 1250/3000, Loss: 0.3653, Val Loss: 0.3310, LR: 0.005
Final training... Epoch 1260/3000, Loss: 0.3656, Val Loss: 0.3131, LR: 0.005
Final training... Epoch 1270/3000, Loss: 0.3722, Val Loss: 0.3230, LR: 0.005
Final training... Epoch 1280/3000, Loss: 0.3731, Val Loss: 0.3241, LR: 0.005
Final training... Epoch 1290/3000, Loss: 0.3604, Val Loss: 0.3143, LR: 0.005
Final training... Epoch 1300/3000, Loss: 0.3492, Val Loss: 0.3088, LR: 0.005
Gradient magnitudes plot saved for epoch 1300 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1300.png
Final training... Epoch 1310/3000, Loss: 0.3504, Val Loss: 0.3051, LR: 0.005
Final training... Epoch 1320/3000, Loss: 0.3543, Val Loss: 0.2971, LR: 0.005
Final training... Epoch 1330/3000, Loss: 0.3476, Val Loss: 0.3126, LR: 0.005
Final training... Epoch 1340/3000, Loss: 0.3469, Val Loss: 0.3099, LR: 0.005
Final training... Epoch 1350/3000, Loss: 0.3603, Val Loss: 0.3149, LR: 0.005
Final training... Epoch 1360/3000, Loss: 0.3507, Val Loss: 0.3107, LR: 0.005
Final training... Epoch 1370/3000, Loss: 0.3567, Val Loss: 0.3213, LR: 0.005
Final training... Epoch 1380/3000, Loss: 0.3477, Val Loss: 0.2963, LR: 0.005
Final training... Epoch 1390/3000, Loss: 0.3539, Val Loss: 0.3200, LR: 0.005
Final training... Epoch 1400/3000, Loss: 0.3710, Val Loss: 0.3160, LR: 0.005
Gradient magnitudes plot saved for epoch 1400 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1400.png
Final training... Epoch 1410/3000, Loss: 0.3505, Val Loss: 0.2931, LR: 0.005
Final training... Epoch 1420/3000, Loss: 0.3528, Val Loss: 0.3032, LR: 0.005
Final training... Epoch 1430/3000, Loss: 0.3599, Val Loss: 0.3067, LR: 0.005
Final training... Epoch 1440/3000, Loss: 0.3354, Val Loss: 0.2946, LR: 0.005
Final training... Epoch 1450/3000, Loss: 0.3334, Val Loss: 0.2952, LR: 0.005
Final training... Epoch 1460/3000, Loss: 0.3471, Val Loss: 0.2928, LR: 0.005
Final training... Epoch 1470/3000, Loss: 0.3482, Val Loss: 0.2933, LR: 0.005
Final training... Epoch 1480/3000, Loss: 0.3353, Val Loss: 0.2889, LR: 0.005
Final training... Epoch 1490/3000, Loss: 0.3304, Val Loss: 0.2847, LR: 0.005
Final training... Epoch 1500/3000, Loss: 0.3432, Val Loss: 0.2856, LR: 0.005
Gradient magnitudes plot saved for epoch 1500 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1500.png
Final training... Epoch 1510/3000, Loss: 0.3374, Val Loss: 0.3008, LR: 0.005
Final training... Epoch 1520/3000, Loss: 0.3472, Val Loss: 0.2840, LR: 0.005
Final training... Epoch 1530/3000, Loss: 0.3295, Val Loss: 0.2826, LR: 0.005
Final training... Epoch 1540/3000, Loss: 0.3359, Val Loss: 0.2878, LR: 0.005
Final training... Epoch 1550/3000, Loss: 0.3298, Val Loss: 0.2960, LR: 0.005
Final training... Epoch 1560/3000, Loss: 0.3376, Val Loss: 0.2806, LR: 0.005
Final training... Epoch 1570/3000, Loss: 0.3352, Val Loss: 0.2937, LR: 0.005
Final training... Epoch 1580/3000, Loss: 0.3405, Val Loss: 0.2965, LR: 0.005
Final training... Epoch 1590/3000, Loss: 0.3247, Val Loss: 0.2802, LR: 0.005
Final training... Epoch 1600/3000, Loss: 0.3287, Val Loss: 0.2773, LR: 0.005
Gradient magnitudes plot saved for epoch 1600 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1600.png
Final training... Epoch 1610/3000, Loss: 0.3326, Val Loss: 0.2791, LR: 0.005
Final training... Epoch 1620/3000, Loss: 0.3291, Val Loss: 0.2962, LR: 0.005
Final training... Epoch 1630/3000, Loss: 0.3292, Val Loss: 0.3002, LR: 0.005
Final training... Epoch 1640/3000, Loss: 0.3279, Val Loss: 0.2886, LR: 0.005
Final training... Epoch 1650/3000, Loss: 0.3240, Val Loss: 0.2733, LR: 0.005
Final training... Epoch 1660/3000, Loss: 0.3480, Val Loss: 0.3019, LR: 0.005
Final training... Epoch 1670/3000, Loss: 0.3362, Val Loss: 0.2856, LR: 0.005
Final training... Epoch 1680/3000, Loss: 0.3280, Val Loss: 0.2857, LR: 0.005
Final training... Epoch 1690/3000, Loss: 0.3245, Val Loss: 0.2752, LR: 0.005
Final training... Epoch 1700/3000, Loss: 0.3272, Val Loss: 0.2785, LR: 0.005
Gradient magnitudes plot saved for epoch 1700 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1700.png
Final training... Epoch 1710/3000, Loss: 0.3216, Val Loss: 0.2757, LR: 0.005
Final training... Epoch 1720/3000, Loss: 0.3244, Val Loss: 0.2763, LR: 0.005
Final training... Epoch 1730/3000, Loss: 0.3107, Val Loss: 0.2745, LR: 0.005
Final training... Epoch 1740/3000, Loss: 0.3333, Val Loss: 0.2766, LR: 0.005
Final training... Epoch 1750/3000, Loss: 0.3173, Val Loss: 0.2668, LR: 0.005
Final training... Epoch 1760/3000, Loss: 0.3237, Val Loss: 0.2717, LR: 0.005
Final training... Epoch 1770/3000, Loss: 0.3410, Val Loss: 0.2743, LR: 0.005
Final training... Epoch 1780/3000, Loss: 0.3201, Val Loss: 0.2683, LR: 0.005
Final training... Epoch 1790/3000, Loss: 0.3123, Val Loss: 0.2622, LR: 0.005
Final training... Epoch 1800/3000, Loss: 0.3103, Val Loss: 0.2604, LR: 0.005
Gradient magnitudes plot saved for epoch 1800 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1800.png
Final training... Epoch 1810/3000, Loss: 0.3161, Val Loss: 0.2579, LR: 0.005
Final training... Epoch 1820/3000, Loss: 0.3691, Val Loss: 0.3068, LR: 0.005
Final training... Epoch 1830/3000, Loss: 0.3307, Val Loss: 0.2759, LR: 0.005
Final training... Epoch 1840/3000, Loss: 0.3209, Val Loss: 0.2641, LR: 0.005
Final training... Epoch 1850/3000, Loss: 0.3175, Val Loss: 0.2622, LR: 0.005
Final training... Epoch 1860/3000, Loss: 0.3503, Val Loss: 0.2742, LR: 0.005
Final training... Epoch 1870/3000, Loss: 0.2997, Val Loss: 0.2686, LR: 0.005
Final training... Epoch 1880/3000, Loss: 0.3203, Val Loss: 0.2696, LR: 0.005
Final training... Epoch 1890/3000, Loss: 0.3204, Val Loss: 0.2613, LR: 0.005
Final training... Epoch 1900/3000, Loss: 0.3211, Val Loss: 0.2653, LR: 0.005
Gradient magnitudes plot saved for epoch 1900 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_1900.png
Final training... Epoch 1910/3000, Loss: 0.3215, Val Loss: 0.2822, LR: 0.005
Final training... Epoch 1920/3000, Loss: 0.3129, Val Loss: 0.2671, LR: 0.005
Final training... Epoch 1930/3000, Loss: 0.3148, Val Loss: 0.2708, LR: 0.005
Final training... Epoch 1940/3000, Loss: 0.3136, Val Loss: 0.2631, LR: 0.005
Final training... Epoch 1950/3000, Loss: 0.3209, Val Loss: 0.2647, LR: 0.005
Final training... Epoch 1960/3000, Loss: 0.3473, Val Loss: 0.2849, LR: 0.005
Final training... Epoch 1970/3000, Loss: 0.3144, Val Loss: 0.2742, LR: 0.005
Final training... Epoch 1980/3000, Loss: 0.3042, Val Loss: 0.2600, LR: 0.005
Final training... Epoch 1990/3000, Loss: 0.3085, Val Loss: 0.2569, LR: 0.005
Final training... Epoch 2000/3000, Loss: 0.3095, Val Loss: 0.2545, LR: 0.005
Gradient magnitudes plot saved for epoch 2000 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2000.png
Final training... Epoch 2010/3000, Loss: 0.3005, Val Loss: 0.2561, LR: 0.005
Final training... Epoch 2020/3000, Loss: 0.3054, Val Loss: 0.2565, LR: 0.005
Final training... Epoch 2030/3000, Loss: 0.3113, Val Loss: 0.2529, LR: 0.005
Final training... Epoch 2040/3000, Loss: 0.3245, Val Loss: 0.2690, LR: 0.005
Final training... Epoch 2050/3000, Loss: 0.3065, Val Loss: 0.2549, LR: 0.005
Final training... Epoch 2060/3000, Loss: 0.2987, Val Loss: 0.2509, LR: 0.005
Final training... Epoch 2070/3000, Loss: 0.2980, Val Loss: 0.2517, LR: 0.005
Final training... Epoch 2080/3000, Loss: 0.3130, Val Loss: 0.2581, LR: 0.005
Final training... Epoch 2090/3000, Loss: 0.2928, Val Loss: 0.2490, LR: 0.005
Final training... Epoch 2100/3000, Loss: 0.3126, Val Loss: 0.2633, LR: 0.005
Gradient magnitudes plot saved for epoch 2100 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2100.png
Final training... Epoch 2110/3000, Loss: 0.3068, Val Loss: 0.2719, LR: 0.005
Final training... Epoch 2120/3000, Loss: 0.3090, Val Loss: 0.2458, LR: 0.005
Final training... Epoch 2130/3000, Loss: 0.3190, Val Loss: 0.2503, LR: 0.005
Final training... Epoch 2140/3000, Loss: 0.3075, Val Loss: 0.2526, LR: 0.005
Final training... Epoch 2150/3000, Loss: 0.3087, Val Loss: 0.2525, LR: 0.005
Final training... Epoch 2160/3000, Loss: 0.3006, Val Loss: 0.2464, LR: 0.005
Final training... Epoch 2170/3000, Loss: 0.2988, Val Loss: 0.2461, LR: 0.005
Final training... Epoch 2180/3000, Loss: 0.2977, Val Loss: 0.2468, LR: 0.005
Final training... Epoch 2190/3000, Loss: 0.3075, Val Loss: 0.2559, LR: 0.005
Final training... Epoch 2200/3000, Loss: 0.3045, Val Loss: 0.2522, LR: 0.005
Gradient magnitudes plot saved for epoch 2200 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2200.png
Final training... Epoch 2210/3000, Loss: 0.2944, Val Loss: 0.2468, LR: 0.005
Final training... Epoch 2220/3000, Loss: 0.3004, Val Loss: 0.2467, LR: 0.005
Final training... Epoch 2230/3000, Loss: 0.2910, Val Loss: 0.2456, LR: 0.005
Final training... Epoch 2240/3000, Loss: 0.2970, Val Loss: 0.2529, LR: 0.005
Final training... Epoch 2250/3000, Loss: 0.2977, Val Loss: 0.2473, LR: 0.005
Final training... Epoch 2260/3000, Loss: 0.3242, Val Loss: 0.2555, LR: 0.005
Final training... Epoch 2270/3000, Loss: 0.3115, Val Loss: 0.2617, LR: 0.005
Final training... Epoch 2280/3000, Loss: 0.3058, Val Loss: 0.2510, LR: 0.0025
Final training... Epoch 2290/3000, Loss: 0.2945, Val Loss: 0.2423, LR: 0.0025
Final training... Epoch 2300/3000, Loss: 0.2812, Val Loss: 0.2327, LR: 0.0025
Gradient magnitudes plot saved for epoch 2300 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2300.png
Final training... Epoch 2310/3000, Loss: 0.2939, Val Loss: 0.2328, LR: 0.0025
Final training... Epoch 2320/3000, Loss: 0.2869, Val Loss: 0.2330, LR: 0.0025
Final training... Epoch 2330/3000, Loss: 0.2873, Val Loss: 0.2294, LR: 0.0025
Final training... Epoch 2340/3000, Loss: 0.2872, Val Loss: 0.2299, LR: 0.0025
Final training... Epoch 2350/3000, Loss: 0.2874, Val Loss: 0.2305, LR: 0.0025
Final training... Epoch 2360/3000, Loss: 0.2850, Val Loss: 0.2306, LR: 0.0025
Final training... Epoch 2370/3000, Loss: 0.2891, Val Loss: 0.2278, LR: 0.0025
Final training... Epoch 2380/3000, Loss: 0.2780, Val Loss: 0.2258, LR: 0.0025
Final training... Epoch 2390/3000, Loss: 0.2742, Val Loss: 0.2280, LR: 0.0025
Final training... Epoch 2400/3000, Loss: 0.2809, Val Loss: 0.2308, LR: 0.0025
Gradient magnitudes plot saved for epoch 2400 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2400.png
Final training... Epoch 2410/3000, Loss: 0.2795, Val Loss: 0.2314, LR: 0.0025
Final training... Epoch 2420/3000, Loss: 0.2752, Val Loss: 0.2264, LR: 0.0025
Final training... Epoch 2430/3000, Loss: 0.2812, Val Loss: 0.2262, LR: 0.0025
Final training... Epoch 2440/3000, Loss: 0.2794, Val Loss: 0.2251, LR: 0.0025
Final training... Epoch 2450/3000, Loss: 0.2773, Val Loss: 0.2228, LR: 0.0025
Final training... Epoch 2460/3000, Loss: 0.2769, Val Loss: 0.2267, LR: 0.0025
Final training... Epoch 2470/3000, Loss: 0.2752, Val Loss: 0.2255, LR: 0.0025
Final training... Epoch 2480/3000, Loss: 0.2801, Val Loss: 0.2212, LR: 0.0025
Final training... Epoch 2490/3000, Loss: 0.2865, Val Loss: 0.2230, LR: 0.0025
Final training... Epoch 2500/3000, Loss: 0.2760, Val Loss: 0.2225, LR: 0.0025
Gradient magnitudes plot saved for epoch 2500 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2500.png
Final training... Epoch 2510/3000, Loss: 0.2728, Val Loss: 0.2229, LR: 0.0025
Final training... Epoch 2520/3000, Loss: 0.2778, Val Loss: 0.2222, LR: 0.0025
Final training... Epoch 2530/3000, Loss: 0.2668, Val Loss: 0.2218, LR: 0.0025
Final training... Epoch 2540/3000, Loss: 0.2737, Val Loss: 0.2222, LR: 0.0025
Final training... Epoch 2550/3000, Loss: 0.2719, Val Loss: 0.2188, LR: 0.0025
Final training... Epoch 2560/3000, Loss: 0.2719, Val Loss: 0.2188, LR: 0.0025
Final training... Epoch 2570/3000, Loss: 0.2775, Val Loss: 0.2247, LR: 0.0025
Final training... Epoch 2580/3000, Loss: 0.2767, Val Loss: 0.2241, LR: 0.0025
Final training... Epoch 2590/3000, Loss: 0.2761, Val Loss: 0.2185, LR: 0.0025
Final training... Epoch 2600/3000, Loss: 0.2753, Val Loss: 0.2212, LR: 0.0025
Gradient magnitudes plot saved for epoch 2600 to ./ESKAPEE_model/training_logs/gradient_magnitudes_epoch_2600.png
Final training... Epoch 2610/3000, Loss: 0.2672, Val Loss: 0.2184, LR: 0.0025
Final training... Epoch 2620/3000, Loss: 0.2698, Val Loss: 0.2212, LR: 0.0025
Final training... Epoch 2630/3000, Loss: 0.2673, Val Loss: 0.2152, LR: 0.0025
Final training... Epoch 2640/3000, Loss: 0.2757, Val Loss: 0.2159, LR: 0.0025
Final training... Epoch 2650/3000, Loss: 0.2693, Val Loss: 0.2162, LR: 0.0025
Final training... Epoch 2660/3000, Loss: 0.2736, Val Loss: 0.2150, LR: 0.0025
Final training... Epoch 2670/3000, Loss: 0.2678, Val Loss: 0.2148, LR: 0.0025
Final training... Epoch 2680/3000, Loss: 0.2749, Val Loss: 0.2206, LR: 0.0025
Final training... Epoch 2690/3000, Loss: 0.2961, Val Loss: 0.2262, LR: 0.0025
